job_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.099122522,0.065973351,0.027299318,0.038349041,0.032824179,0.038349041,0.09359766,0.016249594,0.049398765,0.071498213,0.027299318,0.077023074,0.016249594,0.09359766,0.09359766,0.126746831,0.032824179
2,0.033585056,0.043720191,0.026828299,0.050476948,0.016693164,0.094395866,0.209260731,0.077503975,0.084260731,0.030206677,0.036963434,0.070747218,0.026828299,0.030206677,0.097774245,0.020071542,0.050476948
3,0.054227941,0.046415441,0.046415441,0.124540441,0.038602941,0.054227941,0.030790441,0.022977941,0.030790441,0.101102941,0.108915441,0.062040441,0.054227941,0.108915441,0.038602941,0.022977941,0.054227941
4,0.066697545,0.082445577,0.066697545,0.023390459,0.047012506,0.050949514,0.054886522,0.125752663,0.023390459,0.03913849,0.043075498,0.11394164,0.0942566,0.019453451,0.086382585,0.019453451,0.043075498
5,0.043829296,0.053633218,0.038927336,0.078143022,0.053633218,0.043829296,0.0683391,0.019319493,0.019319493,0.06343714,0.043829296,0.038927336,0.264417532,0.048731257,0.034025375,0.058535179,0.029123414
6,0.058197747,0.084793492,0.031602003,0.031602003,0.074155194,0.036921151,0.015644556,0.026282854,0.0422403,0.068836045,0.063516896,0.191176471,0.090112641,0.036921151,0.063516896,0.047559449,0.036921151
7,0.026994359,0.06809025,0.05439162,0.033843674,0.026994359,0.026994359,0.163980661,0.026994359,0.08178888,0.033843674,0.033843674,0.061240935,0.047542305,0.047542305,0.157131346,0.04069299,0.06809025
8,0.052855925,0.014208582,0.0190395,0.057686843,0.052855925,0.062517761,0.057686843,0.057686843,0.173628872,0.067348679,0.043194089,0.052855925,0.043194089,0.062517761,0.096334186,0.057686843,0.028701336
9,0.087529412,0.055529412,0.111529412,0.039529412,0.039529412,0.063529412,0.063529412,0.055529412,0.055529412,0.055529412,0.079529412,0.023529412,0.063529412,0.087529412,0.031529412,0.023529412,0.063529412
10,0.015898251,0.037519873,0.015898251,0.026709062,0.032114467,0.015898251,0.015898251,0.015898251,0.015898251,0.037519873,0.037519873,0.021303657,0.021303657,0.567249603,0.053736089,0.037519873,0.032114467
11,0.081639929,0.096791444,0.13315508,0.054367201,0.042245989,0.027094474,0.060427807,0.10285205,0.011942959,0.057397504,0.114973262,0.036185383,0.048306595,0.030124777,0.021033868,0.051336898,0.030124777
12,0.02745098,0.071895425,0.066339869,0.094117647,0.033006536,0.021895425,0.038562092,0.021895425,0.133006536,0.044117647,0.02745098,0.071895425,0.038562092,0.02745098,0.166339869,0.044117647,0.071895425
